account_id,duns_number,company_name,industry,revenue,employee_count,founded_date,address,city,state,country
35,57-405-3157,Corwin LLC,Healthcare,714360967.15,3608,5/12/1999,64841 Meadow Valley Road,Boca de Uchire,,Venezuela
36,55-472-9816,Hickle Inc,Finance,590773219.46,727,4/18/1940,22 Summer Ridge Parkway,Cicayur,,Indonesia
37,08-275-1187,"Becker, Flatley and Robel",Technology,320932850.02,3519,10/5/2004,3206 8th Street,Keleng,,Indonesia
38,68-468-9970,Steuber and Sons,Technology,521413452.65,1499,2/7/1969,7216 Meadow Vale Lane,Sergelen,,Mongolia
39,40-431-3802,Konopelski and Sons,Healthcare,516766006.15,2454,10/7/1981,982 Garrison Crossing,Pavliš,,Serbia
40,43-852-9782,Pacocha Group,Finance,573187444.03,2070,5/28/1992,0 Schmedeman Center,Castelo,16,Portugal
41,89-289-4439,Schmidt-Jerde,Retail,401061076.97,2671,2/3/2018,489 Little Fleur Hill,Åtvidaberg,E,Sweden
42,77-087-2200,"Nienow, Brakus and Kunde",Healthcare,917538882.11,1895,10/15/1926,766 Monica Crossing,Alaghsas,,Niger
43,30-011-1945,"Ondricka, Stark and Hauck",Finance,325470982.41,2498,1/9/1978,436 Maywood Way,Huangyang,,China
44,88-769-6469,Kshlerin Group,Retail,831297891.95,182,5/13/1907,366 Schmedeman Terrace,Mahendranagar,,Nepal
45,53-774-9344,"Pouros, Abernathy and King",Technology,311812859.71,4682,1/29/1985,0 Talmadge Pass,Altay,,China
46,47-657-0309,Koepp LLC,Technology,981084973.33,1558,2/10/1935,6 Mandrake Point,Aldeias de Cima,13,Portugal
47,00-937-8484,Carter Inc,Healthcare,118184672.67,195,5/13/2018,9329 Fisk Avenue,Okrouhlice,,Czech Republic
48,68-335-1468,"Ritchie, Schultz and Corwin",Finance,759673809.18,4244,5/14/1987,33 Hovde Lane,Karagach,,Russia
49,74-049-6832,Bashirian Group,Healthcare,156230646.45,2186,4/7/1932,0 Hazelcrest Alley,Tangyin,,China
50,67-085-3947,Rogahn Group,Technology,879624885.76,3357,1/31/1984,27794 New Castle Way,Selenicë,,Albania
51,84-493-7122,Leuschke Group,Technology,922136719.61,2529,8/28/1966,334 Fisk Way,Ciherang,,Indonesia
52,95-693-3087,Hahn and Sons,Finance,160987794.89,757,8/26/1905,50 Leroy Avenue,Zlín,,Czech Republic
53,85-132-7419,Stracke-Luettgen,Finance,172563295.44,2821,8/1/1935,4 Evergreen Center,San Diego,CA,United States
54,03-258-7918,"Gottlieb, Wyman and Bergstrom",Finance,824557268.72,4828,4/27/1901,1430 Cardinal Place,North Cowichan,BC,Canada
55,70-374-9401,"Jenkins, Weimann and Wunsch",Healthcare,442964508.84,867,2/3/1999,63 Norway Maple Junction,Tlumach,,Ukraine
56,88-062-4111,Bashirian Inc,Finance,778130619.07,2066,8/22/1987,872 Sullivan Court,Smederevo,,Serbia
57,22-309-9413,"Reichel, Cole and Nitzsche",Technology,270869507.29,4602,5/21/1901,62545 Northwestern Court,Dalongtan,,China
58,99-998-2117,Jacobi-Sawayn,Technology,510697640.41,4906,9/13/1906,2453 Shoshone Road,Kuytun,,Russia
59,13-160-3889,Kutch Inc,Retail,991720357.48,4108,6/6/1956,0 Chive Road,Setanggor,,Indonesia
60,68-308-2442,Koch-Russel,Retail,750566962.24,2945,9/14/1924,0 Judy Point,Castêlo,13,Portugal
61,46-951-6740,"Kshlerin, Gislason and Murazik",Healthcare,187421237.81,3743,9/19/1920,103 Northport Court,Anáfi,,Greece
62,72-287-1185,"O'Kon, Padberg and Friesen",Finance,512777212.96,2376,1/7/1980,0 American Ash Hill,Cimanglid,,Indonesia
63,44-129-3380,"Miller, Wolff and Reichel",Technology,436594604.96,1867,10/17/2011,349 Old Shore Pass,Wuyao,,China
64,76-422-5094,"Frami, Breitenberg and Kiehn",Finance,481392180.35,4166,3/6/1914,6 Springview Road,Kangding,,China
65,77-334-4572,"Weissnat, Yundt and Herman",Healthcare,404794207.09,4911,3/11/1961,72 Columbus Road,El Rancho,,Honduras
66,54-921-6685,Cormier-Upton,Retail,568451495.71,347,10/3/1947,95558 Charing Cross Lane,Sonina,,Poland
67,60-547-8810,"Oberbrunner, Thompson and Conn",Finance,859907519.64,629,9/16/1993,7 Scoville Avenue,Suicheng,,China
68,60-882-9479,Bradtke Inc,Technology,720210240.44,4230,7/19/1974,261 Green Road,Pedreira,,Brazil
69,73-164-9433,Farrell-Jacobs,Healthcare,360101320.36,4124,1/27/1952,55257 Rieder Place,Mafinga,,Tanzania
70,40-663-9046,"Schaden, Boyle and Greenholt",Finance,346490408.91,2701,3/19/1966,82 Linden Center,Vrangel’,,Russia
71,09-180-1783,Powlowski-Torp,Finance,216047092.23,3972,12/23/1957,45758 Donald Avenue,Chumikan,,Russia
72,01-002-9684,Ankunding LLC,Retail,573469195.4,883,6/18/1963,517 Grayhawk Court,Pinoma,,Philippines
73,73-452-9896,Koelpin and Sons,Finance,147487501.26,4475,6/30/1962,2100 Jenifer Junction,Wangmang,,China
74,70-137-1164,Swaniawski-Mertz,Healthcare,384666920.43,4808,7/25/1921,87 Thierer Avenue,Sebewe,,Indonesia
75,90-381-2595,Hansen Group,Retail,361329809.01,748,1/2/1904,27 Granby Way,Anlu,,China
76,25-533-6132,"Block, Konopelski and Bogisich",Technology,965720665.77,1866,7/20/1934,3 Straubel Street,Kota Bharu,KTN,Malaysia
77,63-144-2453,"Kerluke, Nitzsche and Paucek",Retail,673393074.12,4071,8/3/1959,3968 Comanche Pass,Maromme,A7,France
78,32-715-1508,Runolfsdottir Group,Technology,435869687.77,3089,2/9/1930,34402 Ramsey Park,Yangliu,,China
79,25-237-8451,Rippin Inc,Finance,20201682.36,4764,1/28/1954,35439 7th Circle,Krasnogorskoye,,Russia
80,93-133-9575,Pouros Group,Finance,774712653.57,2218,12/18/1903,918 Vahlen Crossing,Jobabo,,Cuba
81,83-086-0581,"Herzog, Tillman and Dach",Technology,937941787.92,251,7/16/1947,34049 Victoria Way,Magallanes,,Philippines
82,94-973-7755,"Abbott, Skiles and Lueilwitz",Technology,687092041.2,2166,9/5/1930,0400 Hoffman Circle,Kostino,,Russia
83,00-383-4917,"Mohr, Krajcik and Donnelly",Technology,803582226.78,3564,1/29/2017,71556 Colorado Pass,Hegarmanah,,Indonesia
84,03-788-6017,Sipes-Flatley,Healthcare,651314326.71,809,9/26/1918,348 Leroy Trail,Kujung,,Indonesia
85,27-453-4572,O'Hara-Klein,Retail,880891091.35,4886,8/24/1993,61 Stone Corner Drive,Padangbai,,Indonesia
86,64-192-3329,Lang-Muller,Retail,865394992.75,823,1/5/1982,93089 Bowman Junction,Líbano,,Colombia
87,87-894-6947,"Kautzer, Tremblay and Rippin",Healthcare,878820121.06,3873,12/10/1976,9694 Gateway Avenue,Dongbian,,China
88,74-529-4581,Baumbach-Hauck,Healthcare,505974055.45,3289,9/19/2009,94936 Hudson Place,Itaí,,Brazil
89,34-968-9029,Mertz LLC,Technology,782947161.05,4082,3/1/1934,01165 Little Fleur Park,Vynohradiv,,Ukraine
90,06-653-2273,"Upton, Keebler and Cummings",Finance,469720030.0,3388,5/15/1968,14 Morningstar Alley,Renyi,,China
91,05-385-8976,Stanton-Haag,Finance,665297966.46,647,8/22/2001,44555 Southridge Park,Massenya,,Chad
92,54-036-4439,Paucek-Gleason,Retail,206551386.85,1058,11/30/2003,59 Artisan Circle,Venda Nova,13,Portugal
93,91-923-3632,"Mertz, Wehner and Kuvalis",Finance,791269912.71,1133,7/31/1967,203 Ryan Pass,Xijiang,,China
94,82-648-9064,Konopelski-Bartoletti,Finance,87728516.38,911,4/10/1991,556 Ryan Park,Chengzhong,,China
95,64-736-2435,Jaskolski-Luettgen,Retail,177572610.76,2031,1/12/2012,06336 Forest Pass,Yelizavetinskoye,,Russia
96,81-643-3054,Skiles Group,Finance,644892280.34,1054,5/20/2002,348 Ronald Regan Terrace,An Nāşirīyah,,Iraq
97,70-709-1854,Heathcote Group,Retail,892051015.49,1962,7/17/2008,5 Ridgeview Way,Zhuting,,China
98,51-226-7156,"Fritsch, Hahn and Ernser",Finance,721690071.14,3557,6/1/1950,9 Boyd Center,Vetlanda,F,Sweden
99,39-160-5715,Anderson-Feeney,Healthcare,295278954.47,601,7/1/1934,61 Commercial Circle,Corralito,,Argentina
100,95-400-8325,Koss Inc,Retail,464350003.3,379,7/15/1920,80 Eagle Crest Plaza,Chaínça,10,Portugal
101,92-704-8320,"Barton, Dietrich and Bogan",Technology,892217753.24,1083,10/22/1995,507 Atwood Drive,Agarsin,,China
102,52-234-3718,Simonis Group,Technology,596266280.99,4214,12/5/1922,8703 Redwing Park,Zgłobień,,Poland
103,65-684-7027,Heathcote and Sons,Retail,161097338.74,4196,9/17/1919,390 Corscot Plaza,Sanjia,,China
104,13-062-3309,"Dibbert, Hamill and Goldner",Technology,945724352.49,4090,1/17/1919,8193 Vermont Road,Tân Hòa,,Vietnam
105,51-172-3790,Greenfelder-Cummerata,Retail,126513099.87,3858,8/25/2002,1 Fallview Plaza,Xinzheng,,China
106,82-989-7855,Bogan and Sons,Retail,253578962.08,3621,4/28/1936,2953 Spenser Point,Simbal,,Peru
107,12-438-1931,Langworth-Nicolas,Technology,552333992.43,388,7/10/1986,8411 Merchant Pass,Tumba,,China
108,20-476-2997,Ratke-Hamill,Healthcare,727462345.83,2746,11/21/1994,9006 Hayes Hill,Romny,,Russia
109,82-256-2419,Schmitt Inc,Technology,333728530.73,1314,7/2/1960,124 Crowley Point,Oued Lill,,Tunisia
110,93-184-3347,Schmitt and Sons,Technology,476837924.58,4948,3/28/2019,259 Schmedeman Hill,Amolatar,,Uganda
111,47-506-8231,Kshlerin Inc,Technology,633476636.37,1955,5/8/1997,14 Mendota Avenue,Lappi,,Finland
112,92-921-9124,Parker LLC,Retail,845267187.96,4842,10/8/1913,5649 Lakewood Gardens Alley,Berlin,BE,Germany
113,24-824-6659,Towne-Kreiger,Technology,399360606.08,2490,4/9/2021,21877 Manley Place,Jintan,,China
114,85-974-0210,Langosh-Tremblay,Finance,834482112.91,3081,8/10/1972,72633 Dixon Circle,Daba,,China
115,51-254-6435,Stoltenberg LLC,Healthcare,109921750.45,2598,2/12/1904,0838 Aberg Street,Pakel,,Indonesia
116,14-558-8636,O'Kon-Mann,Finance,921176397.88,4774,7/5/1991,1071 Kingsford Alley,Podebłocie,,Poland
117,78-817-4602,Ondricka-McClure,Retail,829176386.3,3833,1/19/1993,6066 Helena Plaza,Sade,,Nigeria
118,27-023-1884,"Kirlin, Ward and Stehr",Healthcare,339572044.8,3275,10/25/1982,48 Rockefeller Junction,Pruzhany,,Belarus
119,62-910-4374,Kautzer-Rath,Retail,191879841.9,4292,5/26/2006,376 Artisan Point,Pavlovsk,,Russia
120,47-784-9466,"Auer, Hand and Bartell",Retail,851561554.72,354,9/18/2009,911 Hovde Park,Karmah an Nuzul,,Sudan
121,41-258-0124,Ward and Sons,Healthcare,741538521.43,681,9/7/1997,7029 New Castle Avenue,Kabongan Kidul,,Indonesia
122,09-277-3616,Aufderhar and Sons,Retail,954867676.82,1939,9/4/2018,270 Butternut Circle,Horní Libina,,Czech Republic
123,82-604-8410,"Schmitt, Herzog and Murazik",Finance,323623527.44,1421,1/6/1987,3162 Grasskamp Circle,Askim,O,Sweden
124,55-750-0636,"Friesen, Lowe and Schowalter",Retail,845163508.5,3869,10/10/1925,863 Ridgeway Avenue,Ait Ali,15,Algeria
125,79-197-4931,"Marks, Braun and Armstrong",Retail,155082911.41,1258,10/13/1974,8 East Road,Sarae,,Indonesia
126,49-930-0766,"Homenick, Gorczany and Grant",Retail,476753628.81,1840,5/12/1909,1 Troy Lane,Cerro,,Cuba
127,39-186-6278,Waelchi Inc,Technology,813786733.79,2243,2/14/1948,8310 Eagle Crest Terrace,Taksimo,,Russia
128,86-120-5776,Roberts-Blanda,Healthcare,823258942.96,2083,2/2/1977,19158 Kingsford Trail,Ryazanskiy,,Russia
129,04-107-8446,Mills-Dare,Retail,602328956.03,2956,4/23/1972,62 Ludington Lane,Enschede,15,Netherlands
130,62-800-9244,"Thompson, Lindgren and Lubowitz",Retail,915829011.81,3745,3/12/1928,089 Fisk Place,Ḩalwān,,Egypt
131,18-955-5304,Sanford-Thompson,Healthcare,315329522.37,3025,12/14/2012,1 Service Circle,Wadi,,China
132,77-866-8637,Keebler-Greenfelder,Finance,800426335.6,1311,6/27/1943,8 Raven Avenue,Novoshakhtinsk,,Russia
133,98-322-0254,Hermiston-Kshlerin,Healthcare,260775344.86,1252,12/22/1987,762 Cody Park,Melaka,MLK,Malaysia
134,24-373-5178,Sporer Inc,Finance,88964218.0,1105,4/21/1937,14296 Stuart Road,Valença do Piauí,,Brazil
135,00-651-9335,"Schoen, Jast and Rolfson",Technology,715428234.39,4541,4/2/2000,07 Golf Hill,Matumadua,,Indonesia
136,69-402-8602,"Hickle, Hickle and Bergnaum",Technology,58317105.34,2652,5/29/1913,0 Katie Place,Jeremoabo,,Brazil
137,73-653-4115,Stark LLC,Retail,539604597.21,2052,11/22/1985,04 Rockefeller Way,Forssa,,Finland
138,32-179-0866,Hauck-Effertz,Healthcare,84867770.91,4498,12/30/1943,184 Washington Street,Oslo,03,Norway
139,64-854-8220,"Gottlieb, Ferry and Wolff",Technology,642504118.92,1256,3/29/1967,3730 Texas Crossing,Paseka,,Czech Republic
140,68-648-5478,Quigley Group,Finance,400577767.08,1334,5/22/1981,1 Macpherson Pass,Saḩab,,Yemen
141,39-302-3979,"Swift, Hickle and Kshlerin",Retail,503547292.59,2796,4/10/1997,31 Hanson Park,"Palmas De Gran Canaria, Las",CN,Spain
142,57-445-5266,"Krajcik, Torp and O'Reilly",Retail,161024051.07,2755,7/8/1905,44001 Annamark Way,Sorochuco,,Peru
143,74-045-5950,Rippin-Schmidt,Technology,665467627.0,2497,6/25/1937,1 Bellgrove Terrace,Insrom,,Indonesia
144,76-525-8539,O'Keefe Group,Finance,489834772.45,2348,11/5/2010,88610 Oak Valley Way,Terneuzen,10,Netherlands
145,87-470-0069,Harber Group,Finance,199833510.82,2512,12/12/1908,35 Memorial Point,Nossa Senhora de Machede,07,Portugal
146,80-327-2780,"Franecki, Tremblay and Kohler",Finance,653681785.47,2137,6/7/1911,587 Ruskin Park,Kathu,,Thailand
147,79-322-4123,Hagenes and Sons,Healthcare,395582775.06,4365,3/9/1956,2 Old Shore Terrace,Anastácio,,Brazil
148,87-412-2625,"Blanda, Heaney and Bayer",Technology,599984657.62,4957,9/30/1972,37990 Westridge Alley,Castanheira,16,Portugal
149,82-721-6623,Schuster Group,Technology,763969227.6,2973,11/11/1950,9449 Calypso Avenue,Xueshan,,China
150,49-080-2111,Hermann-Witting,Healthcare,418434831.17,1508,1/13/1965,023 Scoville Point,Río Alejandro,,Panama
151,34-805-9962,Reichel Group,Finance,271882541.98,1234,1/16/1988,8 Spaight Alley,Ipoh,PRK,Malaysia
152,15-757-1849,Lynch-Erdman,Finance,627279266.85,3221,7/17/1954,41928 Florence Hill,Renchaoxi,,China
153,24-074-1123,Metz-Considine,Technology,391558758.51,1333,6/14/1938,51267 Shopko Park,Yokosuka,,Japan
154,34-195-5930,"Fisher, Leuschke and Stehr",Technology,491403598.82,2648,1/15/1951,6176 Sherman Road,Tynne,,Ukraine
155,47-447-6075,Schuppe-Jerde,Healthcare,323415039.42,1519,11/26/1979,2060 Schlimgen Parkway,Diwopu,,China
156,25-287-4277,Harber and Sons,Technology,472016698.87,558,12/15/1982,75431 Rockefeller Terrace,Maninihon,,Philippines
157,91-388-4387,Denesik-Grimes,Finance,323268598.36,3977,6/16/1938,73 Rigney Parkway,General Conesa,,Argentina
158,74-606-8821,"Konopelski, Shanahan and Murphy",Finance,930909695.73,4461,8/25/1934,2175 Susan Place,Nandaime,,Nicaragua
159,29-339-7268,"Bergstrom, Rosenbaum and Murphy",Technology,543725975.17,1027,4/14/1950,647 Goodland Road,Chengbei,,China
160,64-761-0856,Jerde and Sons,Technology,834546176.07,1110,3/16/1911,099 Crest Line Park,Tajinan,,Indonesia
161,71-704-0075,"Feeney, Huel and Sauer",Technology,739205960.68,4038,2/7/1995,31578 Kings Way,Ouidah,,Benin
162,78-296-9041,Reynolds Inc,Retail,591200769.8,625,4/6/1908,08 Dunning Center,Punta Alta,,Argentina
163,07-194-6754,Emmerich and Sons,Technology,137085201.98,4936,10/21/1984,179 1st Terrace,Stoczek,,Poland
164,86-107-9503,"Schuppe, Volkman and Strosin",Retail,969760179.79,4212,9/23/1978,807 Carberry Alley,Čapljina,,Bosnia and Herzegovina
165,15-952-2386,"Parisian, Hintz and Beer",Finance,325186002.68,4612,3/3/1914,366 Summit Junction,Tongzha,,China
166,48-542-3655,Kuphal Inc,Retail,702069257.11,4995,3/26/1932,220 Eagan Crossing,Hamburg,HH,Germany
167,24-657-8306,Corkery-Watsica,Technology,955932516.42,1410,2/21/1961,8 Commercial Street,Kedung,,Indonesia
168,77-377-1678,Auer LLC,Healthcare,453900865.6,1145,8/20/1923,1 Sutteridge Drive,Luanshya,,Zambia
169,55-009-5454,"Considine, Kohler and Sanford",Technology,596780628.53,788,3/9/1969,5898 Gale Trail,Guali,,China
170,68-192-9273,Breitenberg Inc,Healthcare,961123519.62,78,1/26/1908,61246 East Avenue,Mocho,,Jamaica
171,43-138-9035,Bradtke-Smith,Retail,776668225.34,286,4/19/1949,690 Russell Parkway,Kingston,ON,Canada
172,26-585-6871,"Volkman, Conn and Lindgren",Retail,297275609.74,2519,1/24/1942,5 Sutherland Avenue,Heitan,,China
173,89-015-3584,Thiel-MacGyver,Finance,507939409.69,3963,11/7/1965,27 Graedel Place,Bal Chirāgh,,Afghanistan
174,83-265-8699,"West, O'Hara and Powlowski",Finance,651767772.66,3801,6/8/1953,7612 Amoth Drive,Krajan Ngerdani,,Indonesia
175,98-413-8212,Wilderman Inc,Technology,781521013.81,4330,7/24/1933,0704 Beilfuss Pass,Wakiso,,Uganda
176,03-246-8138,"Herman, Lang and Douglas",Technology,19877248.7,2389,4/12/1953,4081 Forest Dale Road,Al Qubbah,,Libya
177,71-795-4841,Kuhic-Erdman,Finance,348726814.79,501,8/21/1900,21828 Browning Center,Guayaquil,,Ecuador
178,78-210-8248,"Kuvalis, Reichel and Glover",Healthcare,344992577.59,2632,6/5/1999,9 Fieldstone Lane,Perovo,,Russia
179,14-167-6364,Marquardt-Monahan,Finance,100859772.63,243,6/25/1954,2 Melby Lane,Mhlambanyatsi,,Swaziland
180,15-149-3006,Maggio-Nolan,Finance,332817438.78,1736,7/21/1996,0119 Florence Point,Ekibastuz,,Kazakhstan
181,81-353-5393,Jerde-Tromp,Finance,517950460.76,771,5/12/1999,622 Center Circle,Avignon,B8,France
182,56-914-2901,"Ryan, Price and Cronin",Retail,973663326.39,509,3/2/1961,68629 Randy Road,Caratinga,,Brazil
183,23-713-8415,"Purdy, Kunze and Grady",Retail,77145258.33,3739,3/6/2017,64 Weeping Birch Crossing,Mengmeng,,China
184,46-781-1342,Graham and Sons,Technology,198410465.78,2406,10/8/1935,32 Del Sol Crossing,Huiyi,,China
185,68-174-7256,"Morissette, Price and Bruen",Healthcare,925669374.94,741,2/23/1984,62 Brentwood Parkway,Changpo,,China
186,99-498-3045,"Huel, Beatty and Shields",Finance,80583867.26,4199,7/13/1953,35 Bunker Hill Junction,Austin,TX,United States
187,78-497-1345,Windler Inc,Retail,88570066.51,4400,7/8/2007,6 Bay Avenue,Chengnan,,China
188,13-727-1656,Howe LLC,Technology,174895170.76,3796,1/7/2000,33659 Buell Plaza,Jiuxian,,China
189,28-857-1928,Morar-Kerluke,Retail,68956226.58,1680,9/11/1928,391 Ridge Oak Street,Madrid,MD,Spain
190,56-852-1329,Daniel-Koch,Finance,751288117.6,2937,7/5/1947,65 Rutledge Road,Ugljan,,Croatia
191,44-340-1412,Cormier Group,Finance,400273953.93,4937,5/28/1965,751 Stuart Center,Babica,,Poland
192,52-730-2848,Walter and Sons,Retail,11337228.18,4847,3/24/1974,73 Esker Plaza,Nubma,,China
193,74-123-3134,Ferry-Reichert,Retail,104308218.39,754,12/20/1911,785 Chinook Circle,Huaiya,,China
194,26-889-4951,Gleason LLC,Finance,314387038.74,2488,11/19/1905,8640 Kipling Alley,Trzciana,,Poland
195,75-488-1045,"Rau, Nienow and Bode",Healthcare,832440641.74,4622,11/5/1998,3 Tennessee Point,Ljukovo,,Serbia
196,80-527-4291,McDermott-Franecki,Healthcare,125913253.02,2597,3/7/1930,274 Spohn Terrace,Ad Darbāsīyah,,Syria
197,31-937-9218,"Breitenberg, Goodwin and Sporer",Technology,703857713.53,3644,6/27/1936,78923 Pankratz Terrace,Khāliş,,Iraq
198,82-229-7656,"Schmidt, Feest and Pagac",Retail,243132222.76,1983,1/12/1974,31 Toban Center,Duncan Town,,Bahamas
199,80-241-0916,"Champlin, O'Conner and Swaniawski",Healthcare,649966953.5,1877,1/22/1934,425 Redwing Plaza,Donja Brela,,Croatia
200,79-620-4480,Beatty LLC,Technology,7115974.24,1410,8/2/1958,034 Hermina Drive,Fangfan,,China
201,83-984-3240,Nolan Group,Finance,348651477.96,1839,8/26/1936,6561 Lotheville Junction,Kadukaung,,Indonesia
202,11-915-5372,"Fay, Kautzer and Flatley",Technology,825241965.57,1682,7/8/1963,33643 Sachs Drive,Ulbroka,,Latvia
203,80-821-7424,Boehm-Fay,Finance,438001430.51,4488,3/2/1998,99841 Waywood Circle,Gradishtë,,Albania
204,37-287-6793,Runolfsdottir LLC,Retail,752307512.31,4048,1/7/1984,167 Colorado Place,Uuemõisa,,Estonia
205,28-591-1594,Sawayn Group,Retail,891512588.2,2064,2/3/1964,88874 Melby Avenue,Stoczek Łukowski,,Poland
206,13-923-3730,Haag and Sons,Healthcare,885847096.91,4975,3/8/1951,995 Parkside Trail,Aparecida,,Brazil
207,88-699-1051,"Brown, Ortiz and Leuschke",Technology,491161456.47,2449,4/27/1999,83 Stuart Center,Seulimeum,,Indonesia
208,58-315-9007,O'Hara-Raynor,Retail,466153788.72,3666,3/10/1922,88 Gale Crossing,Santa Justina,,Philippines
209,17-170-2733,Schamberger Group,Retail,565775562.6,4874,8/23/1978,5387 Fieldstone Point,Arão,16,Portugal
210,63-748-8566,Kris LLC,Healthcare,368205368.65,2977,9/30/1950,1116 Main Plaza,Pepe,,Indonesia
211,30-545-6159,Swift and Sons,Technology,166852694.99,4014,9/29/1962,48730 Harper Park,Bystré,,Czech Republic
212,65-781-6099,"Bruen, Turner and Koss",Finance,857521911.49,922,4/26/1953,8974 Bluestem Trail,Belanting,,Indonesia
213,06-984-7718,"O'Hara, Raynor and Jacobson",Healthcare,333998840.41,2260,2/9/1973,3664 Sage Point,Cipancur,,Indonesia
214,26-902-4364,Schulist-Kiehn,Finance,312552707.28,4286,6/17/1941,9 Bunker Hill Junction,Fray Bentos,,Uruguay
215,73-822-3427,"Willms, Schneider and Walsh",Technology,473779612.67,1373,4/1/1928,0 Northport Road,Ropcha,,Ukraine
216,80-166-1057,McCullough Group,Technology,12441833.02,1686,8/24/1973,079 Merry Center,Chiduo,,China
217,45-998-3911,"Stiedemann, Abshire and Donnelly",Healthcare,459895471.51,1623,4/25/2000,08585 Esker Lane,Pagsañgahan,,Philippines
218,28-583-6638,Becker LLC,Retail,435022672.73,1834,12/17/1984,225 Blue Bill Park Circle,Snizhne,,Ukraine
